,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Long Term Debt And Capital Lease Obligation,2540410000000.0,2401270000000.0,1994060000000.0,2007060000000.0,
Long Term Capital Lease Obligation,171420000000.0,174150000000.0,162300000000.0,130070000000.0,
Long Term Debt,2368990000000.0,2227120000000.0,1831760000000.0,1876990000000.0,
Long Term Provisions,283040000000.0,20440000000.0,16070000000.0,18530000000.0,
Current Liabilities,4537370000000.0,3973670000000.0,3957430000000.0,3086620000000.0,
Other Current Liabilities,901240000000.0,30000000.0,20000000.0,215840000000.0,
Current Debt And Capital Lease Obligation,1155340000000.0,1060150000000.0,1349860000000.0,812680000000.0,
Current Capital Lease Obligation,49030000000.0,41050000000.0,41960000000.0,26620000000.0,
Current Debt,1106310000000.0,1019100000000.0,1307900000000.0,786060000000.0,
Current Provisions,41470000000.0,21750000000.0,21780000000.0,19360000000.0,
Payables,1867890000000.0,2613080000000.0,2353090000000.0,2232840000000.0,
Other Payable,,827590000000.0,879500000000.0,637520000000.0,604400000000.0
Dividends Payable,,1720000000.0,1870000000.0,2020000000.0,2080000000.0
Accounts Payable,1867890000000.0,1783770000000.0,1471720000000.0,1593300000000.0,
Total Assets,19501210000000.0,17559860000000.0,16074310000000.0,14996650000000.0,
Total Non Current Assets,14508510000000.0,12858860000000.0,11821350000000.0,11526460000000.0,
Other Non Current Assets,581900000000.0,267840000000.0,257830000000.0,433700000000.0,
Non Current Prepaid Assets,,77640000000.0,83900000000.0,96260000000.0,88170000000.0
Non Current Deferred Taxes Assets,4080000000.0,9380000000.0,15490000000.0,10430000000.0,
Investmentin Financial Assets,1297600000000.0,1035610000000.0,1054600000000.0,1795940000000.0,
Available For Sale Securities,1297600000000.0,980240000000.0,1002500000000.0,1746820000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,55370000000.0,52100000000.0,49120000000.0,15460000000.0
Long Term Equity Investment,,180730000000.0,136460000000.0,1084090000000.0,801640000000.0
Investmentsin Joint Venturesat Cost,,101410000000.0,62110000000.0,26330000000.0,23720000000.0
Investmentsin Associatesat Cost,,79320000000.0,74350000000.0,1057760000000.0,777920000000.0
Goodwill And Other Intangible Assets,4089390000000.0,3603740000000.0,3307950000000.0,2317980000000.0,
Other Intangible Assets,3844090000000.0,3453850000000.0,3155250000000.0,2187890000000.0,
Goodwill,245300000000.0,149890000000.0,152700000000.0,130090000000.0,
Net PPE,8528120000000.0,7674930000000.0,6949870000000.0,5772180000000.0,
Accumulated Depreciation,,-2499930000000.0,-2240410000000.0,-1964830000000.0,-1665740000000.0
Gross PPE,8528120000000.0,10174860000000.0,9190280000000.0,7737010000000.0,
Construction In Progress,1697100000000.0,1614090000000.0,1244840000000.0,767640000000.0,
Other Properties,6831020000000.0,887600000000.0,707440000000.0,511490000000.0,
Machinery Furniture Equipment,,5979680000000.0,5743560000000.0,5283720000000.0,4782340000000.0
Buildings And Improvements,,820620000000.0,697470000000.0,475610000000.0,367810000000.0
Land And Improvements,,872870000000.0,796970000000.0,698550000000.0,687680000000.0
Properties,,0.0,0.0,0.0,0.0
Current Assets,4992700000000.0,4701000000000.0,4252960000000.0,3470190000000.0,
Other Current Assets,571480000000.0,146510000000.0,120840000000.0,159370000000.0,
Restricted Cash,,36850000000.0,345080000000.0,26690000000.0,28910000000.0
Prepaid Assets,,535390000000.0,488390000000.0,439650000000.0,401290000000.0
Inventory,1460620000000.0,1527700000000.0,1400080000000.0,1077780000000.0,
Other Inventories,,102100000000.0,58910000000.0,26810000000.0,19700000000.0
Finished Goods,,528000000000.0,545390000000.0,412700000000.0,251210000000.0
Work In Process,,589360000000.0,512820000000.0,339850000000.0,277810000000.0
Raw Materials,,308240000000.0,282960000000.0,298420000000.0,268000000000.0
Other Receivables,51820000000.0,25170000000.0,1760000000.0,1300000000.0,
Accounts Receivable,421210000000.0,316280000000.0,284480000000.0,236400000000.0,
Cash Cash Equivalents And Short Term Investments,2487570000000.0,2113100000000.0,1612330000000.0,1529000000000.0,
Other Short Term Investments,1422550000000.0,1177700000000.0,1270770000000.0,1193910000000.0,
Cash And Cash Equivalents,1065020000000.0,935400000000.0,341560000000.0,335090000000.0,
Cash Equivalents,,195280000000.0,301840000000.0,246890000000.0,60390000000.0
Cash Financial,,740120000000.0,39720000000.0,88200000000.0,84670000000.0
